日期,城市,GMV,订单量,活跃用户,新增用户,用户转化率,平均客单价,营销补贴成本,利润
2026-05-22,杭州,74938,1018,29349,1390,3.47%,73.61,5108,7631
2026-05-22,深圳,129469,1676,44601,1940,3.76%,77.25,8187,13823
2026-05-23,成都,60864,958,30457,1431,3.15%,63.53,3752,6595
2026-05-23,杭州,91842,1226,34822,1515,3.52%,74.91,6061,9552
2026-05-23,深圳,144104,1844,47321,2342,3.9%,78.15,8593,15905
2026-05-24,成都,58160,954,29590,1461,3.22%,60.96,3382,6505
2026-05-24,杭州,84371,1165,32532,1354,3.58%,72.42,5395,8948
2026-05-24,深圳,138829,1792,47827,2299,3.75%,77.47,8887,14714
2026-05-25,成都,53201,874,26670,1312,3.28%,60.87,3245,5799
2026-05-25,杭州,75335,1044,30110,1371,3.47%,72.16,4943,7864
2026-05-25,深圳,132729,1688,43753,1932,3.86%,78.63,8338,14226
2026-05-26,成都,54489,870,26738,1196,3.25%,62.63,3184,6079
2026-05-26,杭州,78820,1066,31285,1528,3.41%,73.94,5362,8037
2026-05-26,深圳,131824,1672,45092,2172,3.71%,78.84,8137,14273
2026-05-27,成都,55477,890,27157,1246,3.28%,62.33,3225,6206
2026-05-27,杭州,76452,1032,29944,1356,3.45%,74.08,5022,7975
2026-05-27,深圳,129209,1631,43837,1800,3.72%,79.22,7970,13996
2026-05-28,成都,54900,902,27699,1353,3.26%,60.86,3225,6108
2026-05-28,杭州,74593,1020,29775,1268,3.43%,73.13,4612,8069
2026-05-28,深圳,131694,1683,44940,2087,3.74%,78.25,8482,13906
2026-05-29,成都,51212,835,26840,1267,3.11%,61.33,3080,5626
2026-05-29,杭州,76512,1054,30441,1394,3.46%,72.59,4876,8131
2026-05-29,深圳,130837,1714,45643,2017,3.76%,76.33,8345,13897
2026-05-30,成都,60492,995,30982,1299,3.21%,60.8,3771,6513
2026-05-30,杭州,85738,1136,32890,1440,3.45%,75.47,5844,8731
2026-05-30,深圳,149825,1931,50892,2367,3.79%,77.59,9479,15991
2026-05-31,成都,61576,971,30707,1512,3.16%,63.42,3867,6601
2026-05-31,杭州,92401,1233,34342,1666,3.59%,74.94,6216,9492
2026-05-31,深圳,150479,1900,51433,2306,3.69%,79.2,9330,16251
2026-06-01,成都,57393,924,28312,1273,3.26%,62.11,3472,6285
2026-06-01,杭州,78591,1039,29723,1263,3.5%,75.64,4926,8434
2026-06-01,深圳,129647,1674,44591,1856,3.75%,77.45,8403,13637
2026-06-02,成都,55001,889,28140,1153,3.16%,61.87,3400,5950
2026-06-02,杭州,81828,1087,31470,1549,3.45%,75.28,5410,8501
2026-06-02,深圳,128884,1633,44057,1878,3.71%,78.92,8191,13719
2026-06-03,成都,54170,904,27825,1179,3.25%,59.92,5003,4206
2026-06-03,杭州,59616,825,28689,1266,2.88%,72.26,3711,6424
2026-06-03,深圳,137604,1781,45442,2114,3.92%,77.26,8760,14633
2026-06-04,成都,51055,833,26828,1126,3.1%,61.29,4776,3903
2026-06-04,杭州,60158,804,28620,1228,2.81%,74.82,3720,6507
2026-06-04,深圳,137540,1761,45124,1946,3.9%,78.1,8837,14545
2026-06-05,成都,52432,875,27214,1340,3.22%,59.92,5086,3827
2026-06-05,杭州,55991,752,26750,1163,2.81%,74.46,3715,5803
2026-06-05,深圳,142547,1796,46649,2302,3.85%,79.37,9009,15224
2026-06-06,成都,62643,1020,32199,1373,3.17%,61.41,6063,4586
2026-06-06,杭州,68108,912,31459,1269,2.9%,74.68,4377,7201
2026-06-06,深圳,155522,2035,52922,2336,3.85%,76.42,9921,16518
2026-06-07,成都,61706,1046,32000,1545,3.27%,58.99,5830,4660
2026-06-07,杭州,65932,896,31791,1318,2.82%,73.58,4152,7056
2026-06-07,深圳,156077,2022,50772,2363,3.98%,77.19,9486,17047
2026-06-08,成都,50137,849,26925,1156,3.15%,59.05,4605,3918
2026-06-08,杭州,57090,758,27085,1002,2.8%,75.32,3546,6159
2026-06-08,深圳,145911,1871,48511,2119,3.86%,77.99,9343,15462
2026-06-09,成都,57260,935,28817,1219,3.24%,61.24,5547,4187
2026-06-09,杭州,60010,800,27532,1133,2.91%,75.01,4017,6185
2026-06-09,深圳,137028,1729,45822,2144,3.77%,79.25,8199,15096
